"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_injury_q1","pct_injury_q2","pct_injury_q3","pct_injury_q4","pct_injury_q5","pct_injury_q6","pct_injury_q7","pct_injury_q8","pct_injury_q9","pct_injury_q10","pct_injury_q11","INT","distance","weights","subclass"
"97",360050067006,0,0,241,696,0,9.48275862068965,24.1379310344828,29.3103448275862,5.45977011494253,11.2068965517241,44.5402298850575,44.2528735632184,70.9770115,4.8850575,0,37.344398340249,62.655601659751,25.7261410788382,48.5477178423236,19.0871369294606,6.63900414937759,51.2820512820513,59.8290598290598,179.487179487179,239.316239316239,192.307692307692,256.410256410256,508.547008547009,307.692307692308,230.769230769231,299.145299145299,376.068376068376,0,0.305177459625567,1.00847457627119,"16"
"103",360050069003,1,498,510,1231,5.60519902518278,6.25507717303006,10.5605199025183,17.3842404549147,16.5718927701056,43.216896831844,54.7522339561332,0,53.327787,9.5673877,11.8968386,35.8823529411765,64.1176470588235,2.94117647058824,0,3.92156862745098,93.1372549019608,43.4782608695652,108.695652173913,260.869565217391,304.347826086957,344.202898550725,326.086956521739,760.869565217391,550.724637681159,1076.08695652174,724.63768115942,1275.36231884058,1,0.666973339213023,1,"1"
"104",360050069004,1,370,464,1811,10.1049144119271,10.1601325234677,32.357813362783,7.17835450027609,2.87134180011044,35.946990612921,58.3655438983987,5.68746548868029,53.5063501,13.362783,0,27.5862068965517,72.4137931034483,3.23275862068966,6.03448275862069,0,90.7327586206897,7.34522560335782,27.2822665267576,81.8467995802728,79.7481636935992,68.205666316894,107.030430220357,124.868835257083,167.890870933893,113.326337880378,115.424973767051,196.222455403987,1,0.761844725758202,1,"2"
"109",360050071002,0,0,668,1661,9.4521372667068,10.1143889223359,13.3052378085491,8.12763395544853,4.63576158940397,34.3166767007827,60.3251053582179,4.81637567730283,37.4375,3.25,0,15.2694610778443,84.7305389221557,6.1377245508982,5.68862275449102,11.9760479041916,76.1976047904192,32.967032967033,80.5860805860806,192.307692307692,175.824175824176,311.355311355311,208.791208791209,269.230769230769,380.952380952381,329.67032967033,622.710622710623,423.076923076923,0,0.12559476753558,0.504237288135593,"90"
"112",360050072003,0,0,313,622,7.39549839228296,1.76848874598071,1.76848874598071,24.7588424437299,18.3279742765273,22.8295819935691,75.8842443729904,0,28.4565916,9.6463023,0,36.741214057508,63.258785942492,10.223642172524,3.19488817891374,9.26517571884984,77.3162939297125,205.882352941176,235.294117647059,529.411764705882,647.058823529412,661.764705882353,529.411764705882,720.588235294118,941.176470588235,529.411764705882,147.058823529412,970.588235294118,0,0.186491605919111,0.504237288135593,"21"
"114",360050073001,0,0,511,1342,5.14157973174367,6.25931445603577,16.2444113263785,17.7347242921013,6.18479880774963,28.5394932935917,67.1385991058122,3.20417287630402,54.749439,8.3769634,3.9640987,30.9197651663405,69.0802348336595,11.545988258317,9.19765166340509,27.7886497064579,51.46771037182,24.2587601078167,80.8625336927224,129.380053908356,247.978436657682,242.587601078167,210.242587601078,433.962264150943,625.33692722372,436.657681940701,673.854447439353,355.795148247978,0,0.373121482923708,2.01694915254237,"71"
"118",360050074003,0,0,621,1230,3.08943089430894,5.20325203252033,5.44715447154472,34.7154471544715,24.2276422764228,48.6178861788618,47.6422764227642,4.71544715447155,14.0650407,5.203252,2.8455285,3.05958132045089,96.9404186795491,0,2.89855072463768,3.5426731078905,93.5587761674718,65.0887573964497,82.8402366863905,88.7573964497041,213.01775147929,325.443786982249,355.029585798817,372.781065088757,426.03550295858,426.03550295858,414.201183431953,650.887573964497,0,0.355861342047512,1.00847457627119,"76"
"120",360050075003,1,501,555,1124,5.4270462633452,8.54092526690392,10.8540925266904,16.1921708185053,15.3914590747331,33.8967971530249,63.7010676156584,0,43.2384342,10.8540925,5.5160142,34.954954954955,65.045045045045,4.5045045045045,0,9.18918918918919,86.3063063063063,17.921146953405,43.010752688172,225.806451612903,57.3476702508961,250.89605734767,258.064516129032,451.612903225806,286.73835125448,290.322580645161,430.10752688172,354.838709677419,1,0.338625142610009,1,"11"
"121",360050075004,1,168,225,628,8.43949044585987,8.12101910828025,22.7707006369427,6.21019108280255,2.07006369426752,36.3057324840764,59.0764331210191,0,51.910828,10.9872611,0,25.7777777777778,74.2222222222222,21.3333333333333,0,16.8888888888889,61.7777777777778,16.1943319838057,72.8744939271255,230.769230769231,178.137651821862,283.400809716599,315.789473684211,255.060728744939,518.218623481781,109.311740890688,283.400809716599,400.80971659919,1,0.202174135789469,1,"12"
"132",360050079002,0,0,328,748,12.8342245989305,16.3101604278075,4.27807486631016,27.1390374331551,5.74866310160428,43.5828877005348,55.3475935828877,1.06951871657754,59.4476744,0,5.5232558,61.890243902439,38.109756097561,28.9634146341463,10.6707317073171,49.0853658536585,11.280487804878,52,104,84,240,280,336,364,416,360,240,352,0,0.0624938655944444,0.504237288135593,"6"
