"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_asthma_q1","pct_asthma_q2","pct_asthma_q3","pct_asthma_q4","pct_asthma_q5","pct_asthma_q6","pct_asthma_q7","pct_asthma_q8","pct_asthma_q11","pct_asthma_q9","pct_asthma_q10","INT","distance","weights","subclass"
"148",360050085005,0,0,424,1721,7.66995932597327,6.91458454386984,17.0830912260314,11.4468332364904,9.23881464264962,14.0615920976177,85.4154561301569,0,51.4501892,5.6116015,2.332913,67.9245283018868,32.0754716981132,2.35849056603774,7.78301886792453,39.8584905660377,50,22.4719101123595,19.6629213483146,28.0898876404494,19.6629213483146,16.8539325842697,16.8539325842697,22.4719101123595,11.2359550561798,5.61797752808989,16.8539325842697,19.6629213483146,0,0.185191251029867,0.515217391304348,"53"
"150",360050086002,1,583,578,1569,1.7208413001912,6.94710006373486,15.678776290631,15.1051625239006,10.5162523900574,42.5748884639898,56.9789674952199,0,54.8119822,4.8438496,1.2746973,11.0726643598616,88.9273356401384,5.88235294117647,1.21107266435986,2.42214532871972,90.4844290657439,42.2885572139304,27.363184079602,12.4378109452736,9.9502487562189,24.8756218905473,12.4378109452736,19.9004975124378,4.97512437810945,17.4129353233831,29.8507462686567,22.3880597014925,1,0.753784092549076,1,"12"
"151",360050086003,1,578,581,1381,3.83779869659667,9.77552498189718,10.3548153511948,11.151339608979,19.2614047791455,20.2751629254164,78.783490224475,0.941346850108617,38.1607531,18.1752353,6.0101376,27.5387263339071,72.4612736660929,0,6.02409638554217,6.88468158347676,82.0998278829604,14.2857142857143,21.4285714285714,11.9047619047619,21.4285714285714,16.6666666666667,16.6666666666667,7.14285714285714,0,14.2857142857143,9.52380952380953,11.9047619047619,1,0.37016046193903,1,"13"
"155",360050087005,0,0,403,1441,6.31505898681471,10.8952116585704,12.9770992366412,13.7404580152672,9.71547536433033,14.8507980569049,83.6224843858432,0,43.1644691,8.6745316,3.7473976,44.9131513647643,55.0868486352357,8.43672456575682,5.95533498759305,16.3771712158809,69.2307692307692,17.7514792899408,35.5029585798817,20.7100591715976,8.87573964497041,23.6686390532544,8.87573964497041,14.792899408284,2.9585798816568,23.6686390532544,11.8343195266272,23.6686390532544,0,0.199663615550802,0.515217391304348,"96"
"156",360050089001,0,0,682,1900,4.36842105263158,13.1578947368421,19.3684210526316,15.1052631578947,13.9473684210526,18.6315789473684,79.7368421052632,1.05263157894737,33.4210526,24.1578947,10,51.3196480938416,48.6803519061584,4.83870967741935,6.59824046920821,33.2844574780059,55.2785923753666,16.304347826087,3.6231884057971,10.8695652173913,7.2463768115942,7.2463768115942,5.43478260869565,12.6811594202899,5.43478260869565,9.05797101449275,14.4927536231884,9.05797101449275,0,0.369421577293666,2.06086956521739,"13"
"158",360050090001,0,0,10,34,0,0,0,44.1176470588235,55.8823529411765,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,29.4117647058824,0,0,0.643129377623404,2.06086956521739,"46"
"162",360050090005,1,579,632,1700,0.647058823529412,6.70588235294118,18.0588235294118,13.5294117647059,13.9411764705882,30.9411764705882,69.0588235294118,0,43.4117647,14.3529412,2.2941176,19.4620253164557,80.5379746835443,0.632911392405063,1.42405063291139,4.58860759493671,90.0316455696203,25.6959314775161,12.847965738758,23.5546038543897,14.9892933618844,21.4132762312634,32.1199143468951,19.271948608137,4.28265524625268,8.56531049250535,10.7066381156317,10.7066381156317,1,0.542001427400319,1,"15"
"179",360050098005,0,0,717,1538,9.23276983094929,4.29128738621587,8.64759427828348,17.8803641092328,18.4005201560468,40.5071521456437,58.1274382314694,0.845253576072822,23.4070221,3.1859558,9.1027308,18.4100418410042,81.5899581589958,6.69456066945607,2.78940027894003,8.92608089260809,77.8242677824268,3.584229390681,5.37634408602151,3.584229390681,0,5.37634408602151,3.584229390681,7.16845878136201,1.7921146953405,17.921146953405,5.37634408602151,14.336917562724,0,0.106429899927481,0.515217391304348,"61"
"187",360050119001,0,0,735,2505,13.2135728542914,10.2594810379242,10.5788423153693,6.62674650698603,2.43512974051896,35.5688622754491,63.0339321357285,1.39720558882236,29.7804391,7.3053892,17.0459082,54.2857142857143,45.7142857142857,0,16.5986394557823,27.6190476190476,55.7823129251701,35.2422907488987,26.431718061674,35.2422907488987,13.215859030837,35.2422907488987,26.431718061674,52.863436123348,26.431718061674,48.4581497797357,26.431718061674,44.0528634361234,0,0.31316844003561,2.06086956521739,"14"
"188",360050119004,0,0,433,720,5.97222222222222,10,5.69444444444444,15.5555555555556,30.2777777777778,21.25,69.3055555555556,15.4166666666667,45,13.3333333,19.3055556,70.2078521939954,29.7921478060046,2.07852193995381,16.8591224018476,46.6512702078522,34.4110854503464,0,6.06060606060606,3.03030303030303,3.03030303030303,12.1212121212121,12.1212121212121,6.06060606060606,3.03030303030303,9.09090909090909,12.1212121212121,6.06060606060606,0,0.386453302469423,1.0304347826087,"84"
