"","Finished","Q1","Q2","Q3","Q4_1","Q5_1","Q6_1","Q7_1","Q8_1","Q9_1","Q10_1","Q11_1","Q12_1","Q13_1","Q14","Q15","Q16","Q17","group","sum"
"182","1","1","2,3,5","39","3","2","3","4","5","4","2","3","2","2","2","2","5","2","group1 & group2",30
"183","1","1","5","29","2","3","2","2","4","2","2","2","2","2","3","1","5","2","group2",23
"184","0","1","5","39","","","","","","","","","","","","","","","group2",0
"185","0","1","1,2,3,4","33","","","","","","","","","","","","","","","group1 & group2",0
"188","1","1","3,5","6","2","1","2","2","4","2","2","2","1","2","2","2","5","2","group1 & group2",20
"189","0","1","3","10","","","","","","","","","","","","","","","group1",0
"190","0","1","1","44","","","","","","","","","","","","","","","group1",0
"191","0","1","5","22","","","","","","","","","","","","","","","group2",0
"193","0","1","5","29","","","","","","","","","","","","","","","group2",0
"194","0","1","3,5","29","","","","","","","","","","","","","","","group1 & group2",0
"195","1","1","5","19","2","2","2","1","4","4","3","1","2","2","1","2","5","2","group2",23
"196","1","1","1,2,3,5","14","2","2","3","4","5","1","2","4","3","1","1","1","5","2","group1 & group2",27
"197","1","","5","23","5","4","4","4","5","4","2","2","4","4","3","1","5","2","group2",38
"198","1","1","5","33","4","4","4","4","4","2","1","4","4","3","4","1","5","2","group2",34
"199","1","1","3,5","19","4","3","4","4","4","3","4","3","4","4","1","2","5","2","group1 & group2",37
"200","1","1","3,5","33","2","1","1","4","3","2","1","2","1","1","1","1","5","2","group1 & group2",18
"202","1","1","5","20","2","2","4","4","5","2","2","3","3","2","2","1","5","2","group2",29
"203","1","","5","38","4","4","4","4","5","3","4","5","5","5","3","1","5","1","group2",43
"204","1","1","5","26","3","3","2","4","5","5","4","4","4","3","1","1","5","2","group2",37
"205","1","1","5","47","2","2","4","4","4","2","2","3","3","4","2","1","5","2","group2",30
"206","1","1","2,3,5","28","2","2","1","2","4","1","1","2","2","1","2","1","5","2","group1 & group2",18
"207","1","1","1,3,5","19","2","2","2","2","5","4","1","4","4","2","1","2","3","1","group1 & group2",28
"208","1","1","5","","5","5","5","5","5","2","1","4","4","4","1","1","5","2","group2",40
"209","1","","3,5","5","2","4","2","4","4","3","5","5","5","5","1","2","5","1","group1 & group2",39
"210","1","1","5","18","2","2","4","3","4","3","2","2","2","3","3","1","5","2","group2",27
"211","1","","5","5","2","1","4","2","4","2","2","3","3","4","1","1","7","1","group2",27
"212","1","1","3,5","31","4","2","4","4","5","3","2","4","4","2","1","2","5","2","group1 & group2",34
"213","1","1","2,3,5","48","1","1","2","2","5","1","1","3","3","2","1","2","5","2","group1 & group2",21
"214","0","1","5","21","","","","","","","","","","","","","","","group2",0
"217","0","1","5","47","","","","","","","","","","","","","","","group2",0
"219","0","1","5","37","","","","","","","","","","","","","","","group2",0
"220","0","1","5","31","","","","","","","","","","","","","","","group2",0
"223","0","1","3,5","5","","","","","","","","","","","","","","","group1 & group2",0
"224","0","1","5","33","","","","","","","","","","","","","","","group2",0
